Repayments,

Property:, 650000 

Change in property Value:, 4% 


Amortisation
Month, Date, Equity, Property Value, LVR
1,2025-08-16,-150000.00,650000.00,123%,
2,2025-09-16,-146841.45,652166.67,123%,
3,2025-10-16,-143670.71,654340.56,122%,
4,2025-11-16,-140487.76,656521.69,121%,
5,2025-12-16,-137292.51,658710.10,121%,
6,2026-01-16,-134084.94,660905.80,120%,
7,2026-02-16,-130864.99,663108.82,120%,
8,2026-03-16,-127632.62,665319.18,119%,
9,2026-04-16,-124387.77,667536.91,119%,
10,2026-05-16,-121130.39,669762.03,118%,
11,2026-06-16,-117860.43,671994.57,118%,
12,2026-07-16,-114577.84,674234.55,117%,
13,2026-08-16,-111282.57,676482.00,116%,
14,2026-09-16,-107974.57,678736.94,116%,
15,2026-10-16,-104653.78,680999.40,115%,
16,2026-11-16,-101320.17,683269.40,115%,
17,2026-12-16,-97973.67,685546.96,114%,
18,2027-01-16,-94614.23,687832.12,114%,
19,2027-02-16,-91241.81,690124.89,113%,
20,2027-03-16,-87856.34,692425.31,113%,
21,2027-04-16,-84457.79,694733.39,112%,
22,2027-05-16,-81046.08,697049.17,112%,
23,2027-06-16,-77621.17,699372.67,111%,
24,2027-07-16,-74183.02,701703.91,111%,
25,2027-08-16,-70731.56,704042.92,110%,
26,2027-09-16,-67266.74,706389.73,110%,
27,2027-10-16,-63788.50,708744.37,109%,
28,2027-11-16,-60296.80,711106.85,108%,
29,2027-12-16,-56791.59,713477.20,108%,
30,2028-01-16,-53272.79,715855.46,107%,
31,2028-02-16,-49740.36,718241.65,107%,
32,2028-03-16,-46194.25,720635.78,106%,
33,2028-04-16,-42634.40,723037.90,106%,
34,2028-05-16,-39060.75,725448.03,105%,
35,2028-06-16,-35473.25,727866.19,105%,
36,2028-07-16,-31871.84,730292.41,104%,
37,2028-08-16,-28256.47,732726.72,104%,
38,2028-09-16,-24627.09,735169.14,103%,
39,2028-10-16,-20983.62,737619.70,103%,
40,2028-11-16,-17326.02,740078.44,102%,
41,2028-12-16,-13654.23,742545.37,102%,
42,2029-01-16,-9968.19,745020.52,101%,
43,2029-02-16,-6267.85,747503.92,101%,
44,2029-03-16,-2553.15,749995.60,100%,
45,2029-04-16,1175.97,752495.58,99.8%,
46,2029-05-16,4919.57,755003.90,99.3%,
47,2029-06-16,8677.72,757520.58,98.9%,
48,2029-07-16,12450.45,760045.65,98.4%,
49,2029-08-16,16237.85,762579.14,97.9%,
50,2029-09-16,20039.96,765121.07,97.4%,
51,2029-10-16,23856.83,767671.47,96.9%,
52,2029-11-16,27688.54,770230.37,96.4%,
53,2029-12-16,31535.16,772797.81,95.9%,
54,2030-01-16,35396.72,775373.80,95.4%,
55,2030-02-16,39273.30,777958.38,95.0%,
56,2030-03-16,43164.95,780551.58,94.5%,
57,2030-04-16,47071.73,783153.41,94.0%,
58,2030-05-16,50993.73,785763.93,93.5%,
59,2030-06-16,54930.97,788383.14,93.0%,
60,2030-07-16,58883.53,791011.08,92.6%,
61,2030-08-16,62851.49,793647.79,92.1%,
62,2030-09-16,66834.88,796293.28,91.6%,
63,2030-10-16,70833.78,798947.59,91.1%,
64,2030-11-16,74848.25,801610.75,90.7%,
65,2030-12-16,78878.35,804282.78,90.2%,
66,2031-01-16,82924.16,806963.73,89.7%,
67,2031-02-16,86985.73,809653.61,89.3%,
68,2031-03-16,91063.11,812352.45,88.8%,
69,2031-04-16,95156.39,815060.29,88.3%,
70,2031-05-16,99265.62,817777.16,87.9%,
71,2031-06-16,103390.87,820503.08,87.4%,
72,2031-07-16,107532.20,823238.09,86.9%,
73,2031-08-16,111689.68,825982.22,86.5%,
74,2031-09-16,115863.38,828735.50,86.0%,
75,2031-10-16,120053.35,831497.95,85.6%,
76,2031-11-16,124259.67,834269.61,85.1%,
77,2031-12-16,128482.41,837050.51,84.7%,
78,2032-01-16,132721.61,839840.67,84.2%,
79,2032-02-16,136977.37,842640.14,83.7%,
80,2032-03-16,141249.73,845448.94,83.3%,
81,2032-04-16,145538.79,848267.11,82.8%,
82,2032-05-16,149844.58,851094.66,82.4%,
83,2032-06-16,154167.21,853931.65,81.9%,
84,2032-07-16,158506.70,856778.08,81.5%,
85,2032-08-16,162863.15,859634.01,81.1%,
86,2032-09-16,167236.63,862499.46,80.6%,
87,2032-10-16,171627.20,865374.46,80.2%,
88,2032-11-16,176034.93,868259.04,79.7%,
89,2032-12-16,180459.88,871153.23,79.3%,
90,2033-01-16,184902.14,874057.08,78.8%,
91,2033-02-16,189361.77,876970.60,78.4%,
92,2033-03-16,193838.85,879893.84,78.0%,
93,2033-04-16,198333.44,882826.82,77.5%,
94,2033-05-16,202845.60,885769.57,77.1%,
95,2033-06-16,207375.44,888722.14,76.7%,
96,2033-07-16,211923.00,891684.55,76.2%,
97,2033-08-16,216488.35,894656.83,75.8%,
98,2033-09-16,221071.58,897639.02,75.4%,
99,2033-10-16,225672.76,900631.15,74.9%,
100,2033-11-16,230291.95,903633.25,74.5%,
101,2033-12-16,234929.24,906645.36,74.1%,
102,2034-01-16,239584.69,909667.51,73.7%,
103,2034-02-16,244258.39,912699.74,73.2%,
104,2034-03-16,248950.39,915742.07,72.8%,
105,2034-04-16,253660.79,918794.54,72.4%,
106,2034-05-16,258389.65,921857.19,72.0%,
107,2034-06-16,263137.06,924930.05,71.6%,
108,2034-07-16,267903.07,928013.15,71.1%,
109,2034-08-16,272687.79,931106.53,70.7%,
110,2034-09-16,277491.27,934210.22,70.3%,
111,2034-10-16,282313.58,937324.25,69.9%,
112,2034-11-16,287154.82,940448.66,69.5%,
113,2034-12-16,292015.07,943583.49,69.1%,
114,2035-01-16,296894.39,946728.77,68.6%,
115,2035-02-16,301792.86,949884.53,68.2%,
116,2035-03-16,306710.57,953050.82,67.8%,
117,2035-04-16,311647.58,956227.65,67.4%,
118,2035-05-16,316604.00,959415.08,67.0%,
119,2035-06-16,321579.87,962613.13,66.6%,
120,2035-07-16,326575.30,965821.84,66.2%,
121,2035-08-16,331590.35,969041.24,65.8%,
122,2035-09-16,336625.12,972271.38,65.4%,
123,2035-10-16,341679.68,975512.29,65.0%,
124,2035-11-16,346754.10,978763.99,64.6%,
125,2035-12-16,351848.48,982026.54,64.2%,
126,2036-01-16,356962.90,985299.96,63.8%,
127,2036-02-16,362097.42,988584.29,63.4%,
128,2036-03-16,367252.16,991879.58,63.0%,
129,2036-04-16,372427.17,995185.84,62.6%,
130,2036-05-16,377622.55,998503.13,62.2%,
131,2036-06-16,382838.37,1001831.47,61.8%,
132,2036-07-16,388074.73,1005170.91,61.4%,
133,2036-08-16,393331.70,1008521.48,61.0%,
134,2036-09-16,398609.37,1011883.22,60.6%,
135,2036-10-16,403907.82,1015256.16,60.2%,
136,2036-11-16,409227.16,1018640.35,59.8%,
137,2036-12-16,414567.44,1022035.82,59.4%,
138,2037-01-16,419928.76,1025442.60,59.0%,
139,2037-02-16,425311.22,1028860.74,58.7%,
140,2037-03-16,430714.89,1032290.28,58.3%,
141,2037-04-16,436139.87,1035731.25,57.9%,
142,2037-05-16,441586.23,1039183.69,57.5%,
143,2037-06-16,447054.07,1042647.63,57.1%,
144,2037-07-16,452543.47,1046123.12,56.7%,
145,2037-08-16,458054.54,1049610.20,56.4%,
146,2037-09-16,463587.34,1053108.90,56.0%,
147,2037-10-16,469141.98,1056619.26,55.6%,
148,2037-11-16,474718.55,1060141.33,55.2%,
149,2037-12-16,480317.11,1063675.13,54.8%,
150,2038-01-16,485937.80,1067220.72,54.5%,
151,2038-02-16,491580.67,1070778.12,54.1%,
152,2038-03-16,497245.82,1074347.38,53.7%,
153,2038-04-16,502933.36,1077928.54,53.3%,
154,2038-05-16,508643.35,1081521.63,53.0%,
155,2038-06-16,514375.91,1085126.70,52.6%,
156,2038-07-16,520131.13,1088743.79,52.2%,
157,2038-08-16,525909.10,1092372.94,51.9%,
158,2038-09-16,531709.91,1096014.18,51.5%,
159,2038-10-16,537533.65,1099667.56,51.1%,
160,2038-11-16,543380.42,1103333.12,50.8%,
161,2038-12-16,549250.32,1107010.90,50.4%,
162,2039-01-16,555143.43,1110700.93,50.0%,
163,2039-02-16,561059.87,1114403.27,49.7%,
164,2039-03-16,566999.71,1118117.95,49.3%,
165,2039-04-16,572963.06,1121845.01,48.9%,
166,2039-05-16,578950.02,1125584.49,48.6%,
167,2039-06-16,584960.68,1129336.44,48.2%,
168,2039-07-16,590995.14,1133100.90,47.8%,
169,2039-08-16,597053.49,1136877.90,47.5%,
170,2039-09-16,603135.85,1140667.49,47.1%,
171,2039-10-16,609242.30,1144469.72,46.8%,
172,2039-11-16,615372.95,1148284.62,46.4%,
173,2039-12-16,621527.88,1152112.23,46.1%,
174,2040-01-16,627707.21,1155952.60,45.7%,
175,2040-02-16,633911.05,1159805.78,45.3%,
176,2040-03-16,640139.48,1163671.80,45.0%,
177,2040-04-16,646392.61,1167550.71,44.6%,
178,2040-05-16,652670.53,1171442.54,44.3%,
179,2040-06-16,658973.36,1175347.35,43.9%,
180,2040-07-16,665301.20,1179265.17,43.6%,
181,2040-08-16,671654.15,1183196.06,43.2%,
182,2040-09-16,678032.30,1187140.04,42.9%,
183,2040-10-16,684435.79,1191097.18,42.5%,
184,2040-11-16,690864.68,1195067.50,42.2%,
185,2040-12-16,697319.11,1199051.06,41.8%,
186,2041-01-16,703799.17,1203047.90,41.5%,
187,2041-02-16,710304.97,1207058.06,41.2%,
188,2041-03-16,716836.61,1211081.58,40.8%,
189,2041-04-16,723394.21,1215118.52,40.5%,
190,2041-05-16,729977.87,1219168.92,40.1%,
191,2041-06-16,736587.69,1223232.81,39.8%,
192,2041-07-16,743223.79,1227310.26,39.4%,
193,2041-08-16,749886.27,1231401.29,39.1%,
194,2041-09-16,756575.25,1235505.96,38.8%,
195,2041-10-16,763290.83,1239624.31,38.4%,
196,2041-11-16,770033.14,1243756.40,38.1%,
197,2041-12-16,776802.25,1247902.25,37.8%,
198,2042-01-16,783598.31,1252061.92,37.4%,
199,2042-02-16,790421.41,1256235.46,37.1%,
200,2042-03-16,797271.68,1260422.92,36.7%,
201,2042-04-16,804149.22,1264624.33,36.4%,
202,2042-05-16,811054.14,1268839.74,36.1%,
203,2042-06-16,817986.56,1273069.21,35.7%,
204,2042-07-16,824946.59,1277312.77,35.4%,
205,2042-08-16,831934.35,1281570.48,35.1%,
206,2042-09-16,838949.96,1285842.38,34.8%,
207,2042-10-16,845993.52,1290128.52,34.4%,
208,2042-11-16,853065.16,1294428.95,34.1%,
209,2042-12-16,860164.98,1298743.71,33.8%,
210,2043-01-16,867293.12,1303072.86,33.4%,
211,2043-02-16,874449.68,1307416.44,33.1%,
212,2043-03-16,881634.78,1311774.49,32.8%,
213,2043-04-16,888848.55,1316147.07,32.5%,
214,2043-05-16,896091.10,1320534.23,32.1%,
215,2043-06-16,903362.54,1324936.01,31.8%,
216,2043-07-16,910663.01,1329352.46,31.5%,
217,2043-08-16,917992.62,1333783.64,31.2%,
218,2043-09-16,925351.49,1338229.58,30.9%,
219,2043-10-16,932739.75,1342690.35,30.5%,
220,2043-11-16,940157.51,1347165.98,30.2%,
221,2043-12-16,947604.91,1351656.54,29.9%,
222,2044-01-16,955082.06,1356162.06,29.6%,
223,2044-02-16,962589.08,1360682.60,29.3%,
224,2044-03-16,970126.11,1365218.21,28.9%,
225,2044-04-16,977693.25,1369768.93,28.6%,
226,2044-05-16,985290.65,1374334.83,28.3%,
227,2044-06-16,992918.44,1378915.95,28.0%,
228,2044-07-16,1000576.71,1383512.33,27.7%,
229,2044-08-16,1008265.63,1388124.04,27.4%,
230,2044-09-16,1015985.30,1392751.12,27.1%,
231,2044-10-16,1023735.86,1397393.63,26.7%,
232,2044-11-16,1031517.42,1402051.60,26.4%,
233,2044-12-16,1039330.15,1406725.11,26.1%,
234,2045-01-16,1047174.13,1411414.19,25.8%,
235,2045-02-16,1055049.54,1416118.91,25.5%,
236,2045-03-16,1062956.46,1420839.30,25.2%,
237,2045-04-16,1070895.06,1425575.43,24.9%,
238,2045-05-16,1078865.46,1430327.35,24.6%,
239,2045-06-16,1086867.80,1435095.11,24.3%,
240,2045-07-16,1094902.19,1439878.76,24.0%,
241,2045-08-16,1102968.79,1444678.36,23.7%,
242,2045-09-16,1111067.72,1449493.95,23.3%,
243,2045-10-16,1119199.12,1454325.60,23.0%,
244,2045-11-16,1127363.12,1459173.35,22.7%,
245,2045-12-16,1135559.86,1464037.26,22.4%,
246,2046-01-16,1143789.48,1468917.38,22.1%,
247,2046-02-16,1152052.12,1473813.78,21.8%,
248,2046-03-16,1160347.91,1478726.49,21.5%,
249,2046-04-16,1168676.98,1483655.58,21.2%,
250,2046-05-16,1177039.49,1488601.10,20.9%,
251,2046-06-16,1185435.57,1493563.10,20.6%,
252,2046-07-16,1193865.35,1498541.64,20.3%,
253,2046-08-16,1202329.00,1503536.78,20.0%,
254,2046-09-16,1210826.63,1508548.57,19.7%,
255,2046-10-16,1219358.40,1513577.07,19.4%,
256,2046-11-16,1227924.44,1518622.32,19.1%,
257,2046-12-16,1236524.92,1523684.40,18.8%,
258,2047-01-16,1245159.95,1528763.35,18.6%,
259,2047-02-16,1253829.69,1533859.22,18.3%,
260,2047-03-16,1262534.29,1538972.09,18.0%,
261,2047-04-16,1271273.89,1544101.99,17.7%,
262,2047-05-16,1280048.64,1549249.00,17.4%,
263,2047-06-16,1288858.68,1554413.16,17.1%,
264,2047-07-16,1297704.17,1559594.54,16.8%,
265,2047-08-16,1306585.25,1564793.19,16.5%,
266,2047-09-16,1315502.07,1570009.17,16.2%,
267,2047-10-16,1324454.78,1575242.53,15.9%,
268,2047-11-16,1333443.54,1580493.34,15.6%,
269,2047-12-16,1342468.48,1585761.65,15.3%,
270,2048-01-16,1351529.77,1591047.52,15.1%,
271,2048-02-16,1360627.55,1596351.01,14.8%,
272,2048-03-16,1369761.99,1601672.18,14.5%,
273,2048-04-16,1378933.23,1607011.09,14.2%,
274,2048-05-16,1388141.43,1612367.80,13.9%,
275,2048-06-16,1397386.74,1617742.36,13.6%,
276,2048-07-16,1406669.32,1623134.83,13.3%,
277,2048-08-16,1415989.32,1628545.28,13.1%,
278,2048-09-16,1425346.91,1633973.76,12.8%,
279,2048-10-16,1434742.23,1639420.34,12.5%,
280,2048-11-16,1444175.47,1644885.08,12.2%,
281,2048-12-16,1453646.75,1650368.03,11.9%,
282,2049-01-16,1463156.25,1655869.25,11.6%,
283,2049-02-16,1472704.14,1661388.82,11.4%,
284,2049-03-16,1482290.55,1666926.78,11.1%,
285,2049-04-16,1491915.68,1672483.20,10.8%,
286,2049-05-16,1501579.67,1678058.15,10.5%,
287,2049-06-16,1511282.68,1683651.67,10.2%,
288,2049-07-16,1521024.90,1689263.85,9.96%,
289,2049-08-16,1530806.47,1694894.73,9.68%,
290,2049-09-16,1540627.56,1700544.38,9.40%,
291,2049-10-16,1550488.34,1706212.86,9.13%,
292,2049-11-16,1560388.97,1711900.23,8.85%,
293,2049-12-16,1570329.64,1717606.57,8.57%,
294,2050-01-16,1580310.48,1723331.92,8.30%,
295,2050-02-16,1590331.70,1729076.36,8.02%,
296,2050-03-16,1600393.45,1734839.95,7.75%,
297,2050-04-16,1610495.90,1740622.75,7.48%,
298,2050-05-16,1620639.23,1746424.83,7.20%,
299,2050-06-16,1630823.59,1752246.24,6.93%,
300,2050-07-16,1641049.18,1758087.06,6.66%,
301,2050-08-16,1651316.17,1763947.35,6.39%,
302,2050-09-16,1661624.72,1769827.18,6.11%,
303,2050-10-16,1671975.01,1775726.60,5.84%,
304,2050-11-16,1682367.23,1781645.69,5.57%,
305,2050-12-16,1692801.54,1787584.51,5.30%,
306,2051-01-16,1703278.12,1793543.12,5.03%,
307,2051-02-16,1713797.15,1799521.60,4.76%,
308,2051-03-16,1724358.82,1805520.01,4.50%,
309,2051-04-16,1734963.30,1811538.41,4.23%,
310,2051-05-16,1745610.77,1817576.87,3.96%,
311,2051-06-16,1756301.41,1823635.46,3.69%,
312,2051-07-16,1767035.40,1829714.24,3.43%,
313,2051-08-16,1777812.94,1835813.29,3.16%,
314,2051-09-16,1788634.20,1841932.67,2.89%,
315,2051-10-16,1799499.36,1848072.44,2.63%,
316,2051-11-16,1810408.62,1854232.68,2.36%,
317,2051-12-16,1821362.16,1860413.46,2.10%,
318,2052-01-16,1832360.17,1866614.84,1.84%,
319,2052-02-16,1843402.83,1872836.89,1.57%,
320,2052-03-16,1854490.33,1879079.68,1.31%,
321,2052-04-16,1865622.87,1885343.28,1.05%,
322,2052-05-16,1876800.62,1891627.75,0.784%,
323,2052-06-16,1888023.80,1897933.18,0.522%,
324,2052-07-16,1899292.57,1904259.62,0.261%,
